ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,tunnel_type,action
1331923212.500000,CW1XhM315X2obC5vOd,192.168.202.110,58092,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923212.510000,CEbQTA1VNJyVZGohh8,192.168.202.110,49938,192.168.23.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923217.530000,CZ7TKTE8Jns8fxgM,192.168.202.110,54288,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923242.840000,CxbXsTmg2JmXcpA68,192.168.202.110,55033,192.168.23.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923272.500000,CW1XhM315X2obC5vOd,192.168.202.110,58092,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923272.510000,CEbQTA1VNJyVZGohh8,192.168.202.110,49938,192.168.23.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923277.530000,CZ7TKTE8Jns8fxgM,192.168.202.110,54288,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923295.480000,Cu88zT255GcXastIP8,192.168.202.110,60546,192.168.23.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923355.480000,Cu88zT255GcXastIP8,192.168.202.110,60546,192.168.23.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923383.440000,C23SsA1Fe92p5dULYe,192.168.202.110,45976,192.168.23.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923383.470000,C2MvoF28avqA6d9eke,192.168.202.110,41273,192.168.23.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923396.500000,CHxjM01PlpuOw5Jjhk,192.168.202.110,36205,192.168.23.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923443.440000,C23SsA1Fe92p5dULYe,192.168.202.110,45976,192.168.23.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923443.470000,C2MvoF28avqA6d9eke,192.168.202.110,41273,192.168.23.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923456.500000,CHxjM01PlpuOw5Jjhk,192.168.202.110,36205,192.168.23.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331923492.680000,CCWQle4C3JIUfrSiTh,192.168.202.110,44601,192.168.23.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331923552.680000,CCWQle4C3JIUfrSiTh,192.168.202.110,44601,192.168.23.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331998958.500000,Cvykcj2KWtHnyaiQc1,192.168.202.140,59445,192.168.21.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999018.500000,Cvykcj2KWtHnyaiQc1,192.168.202.140,59445,192.168.21.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999019.760000,CrE0lHoJeZ8OqTYo7,192.168.202.140,54310,192.168.21.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999043.550000,Cefrhe2DHdoGyfstQ,192.168.202.140,54063,192.168.21.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999059.520000,CKWN7J4TKxz9OVKw7,192.168.202.140,48731,192.168.21.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999079.780000,CrE0lHoJeZ8OqTYo7,192.168.202.140,54310,192.168.21.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999103.550000,Cefrhe2DHdoGyfstQ,192.168.202.140,54063,192.168.21.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999119.520000,CKWN7J4TKxz9OVKw7,192.168.202.140,48731,192.168.21.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999193.090000,C5gRpR2LifRR1oAXhk,192.168.202.140,54349,192.168.21.203,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999230.590000,CNPy4EFezfQsmnrE7,192.168.202.140,43825,192.168.21.152,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999236.600000,CY1Rne4966p9PqGTXc,192.168.202.140,36228,192.168.23.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999239.880000,CI4CTw3Ak4W4FWEp1g,192.168.202.140,42585,192.168.22.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999247.880000,CiLg5l2ePTGOTNXIF8,192.168.202.140,56194,192.168.24.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999249.070000,ChkbYv29rcmXQJqzSk,192.168.202.140,49013,192.168.25.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999253.090000,C5gRpR2LifRR1oAXhk,192.168.202.140,54349,192.168.21.203,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999265.180000,CEYvlZ2JdTjnAuv88i,192.168.202.140,38105,192.168.21.253,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999273.659999,Cjgjd32jjYCzYlkz,192.168.202.140,60682,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999283.490000,C7IuBC2h0UXZKXwbUl,192.168.202.140,58931,192.168.26.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999290.590000,CNPy4EFezfQsmnrE7,192.168.202.140,43825,192.168.21.152,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999296.600000,CY1Rne4966p9PqGTXc,192.168.202.140,36228,192.168.23.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999297.120000,CymDZh3c0WQZS6IX81,192.168.202.140,49472,192.168.25.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999299.880000,CI4CTw3Ak4W4FWEp1g,192.168.202.140,42585,192.168.22.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999305.960000,Cu8vEr4Z12pwQv8seb,192.168.202.140,34308,192.168.21.202,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999307.880000,CiLg5l2ePTGOTNXIF8,192.168.202.140,56194,192.168.24.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999309.070000,ChkbYv29rcmXQJqzSk,192.168.202.140,49013,192.168.25.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999311.790000,CCpZLDHTRV0DSIg87,192.168.202.140,35753,192.168.22.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999325.180000,CEYvlZ2JdTjnAuv88i,192.168.202.140,38105,192.168.21.253,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999327.670000,CcqNoS2ORrIpdo9Qlk,192.168.202.140,51555,192.168.24.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999330.580000,CXPMiOyURZYMgxAo7,192.168.202.140,58653,192.168.25.101,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999333.659999,Cjgjd32jjYCzYlkz,192.168.202.140,60682,192.168.23.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999343.490000,C7IuBC2h0UXZKXwbUl,192.168.202.140,58931,192.168.26.1,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999357.120000,CymDZh3c0WQZS6IX81,192.168.202.140,49472,192.168.25.100,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999362.150000,CVKDDc26yVmSC53Ss8,192.168.202.140,50398,192.168.25.25,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999365.960000,Cu8vEr4Z12pwQv8seb,192.168.202.140,34308,192.168.21.202,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999371.790000,CCpZLDHTRV0DSIg87,192.168.202.140,35753,192.168.22.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999387.670000,CcqNoS2ORrIpdo9Qlk,192.168.202.140,51555,192.168.24.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999390.580000,CXPMiOyURZYMgxAo7,192.168.202.140,58653,192.168.25.101,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999398.000000,CMxop71Rf4YHjQYvq3,192.168.202.140,49114,192.168.21.254,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999410.120000,CGFX7nMkvdlM0xWB8,192.168.202.140,60571,192.168.22.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999410.640000,CQdB1c1CwTYGGYqyd4,192.168.202.140,46680,192.168.22.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999422.150000,CVKDDc26yVmSC53Ss8,192.168.202.140,50398,192.168.25.25,3544,Tunnel::TEREDO,Tunnel::CLOSE
