FileName,SectionAlignment,FileAlignment,SizeOfHeaders,TimeDateStamp,ImageBase,SizeOfImage,DllCharacteristics,Characteristics,HighEntropy,LowEntropy,TotalSuspiciousSections,TotalNonSuspiciousSections
zeusbin_01b362d8a9d0984018fe873b61ab3d8a.ex0.json,4096,512,1024,0x463C7748 [Sat May  5 12:23:36 2007 UTC],4194304,192512,0,271,0,1,1,4
zeusbin_01b3a0a9816a4b86322a283c9b994256.ex0.json,4096,512,1024,0x3A       [Thu Jan  1 00:00:58 1970 UTC],4194304,139264,32768,258,0,1,3,3
zeusbin_01b87954ff08ad2bd2de78f49b2b57d9.ex0.json,4096,512,1024,0x4E845299 [Thu Sep 29 11:12:25 2011 UTC],4194304,258048,0,271,1,0,0,4
zeusbin_01bffeb44928ec2fba1a2077540ecf82.ex0.json,4096,512,1024,0x4BDC490C [Sat May  1 15:30:20 2010 UTC],4194304,212992,0,271,0,0,0,3
zeusbin_01c4f53c6f737c5d891d8c8ab773e81f.ex0.json,4096,512,1024,0x4EEF8F27 [Mon Dec 19 19:23:19 2011 UTC],4194304,229376,32768,259,1,1,0,4
zeusbin_01d656c1eaf8ac5000c542b9851f4092.ex0.json,4096,512,1024,0x4F8DC38F [Tue Apr 17 19:25:03 2012 UTC],4194304,389120,0,270,0,1,4,3
zeusbin_01e4243396b542d79398fa0c816bfca7.ex0.json,4096,512,1024,0x4F2E2903 [Sun Feb  5 07:00:19 2012 UTC],4194304,339968,0,270,1,0,2,3
zeusbin_01e5cd00000c6387c5a5fc2ee95fd2f0.ex0.json,4096,512,1024,0x4D7AA48A [Fri Mar 11 22:39:06 2011 UTC],4194304,106496,33024,258,0,0,1,2
zeusbin_01e8aa093f0fa593a11f18963b013165.ex0.json,4096,512,1024,0x4F360405 [Sat Feb 11 06:00:37 2012 UTC],4194304,315392,0,270,1,1,4,3
zeusbin_01f52b27ca96dcf91322602b3e15933e.ex0.json,4096,512,1024,0x4CE14545 [Mon Nov 15 14:35:49 2010 UTC],4194304,151552,1024,258,1,1,1,4
zeusbin_0207676ea05745d7ba7192c07855c183.ex0.json,4096,512,4096,0x3AE29707 [Sun Apr 22 08:32:07 2001 UTC],4194304,4173824,0,33167,1,1,2,1
zeusbin_02089a1b347ba47dd63b0369e707d1f7.ex0.json,4096,512,1024,0x50F8791C [Thu Jan 17 22:20:12 2013 UTC],4194304,315392,32768,259,1,1,1,3
zeusbin_021114ea97a3aab12b6f365c2810b329.ex0.json,4096,512,1024,0x4F6A28B2 [Wed Mar 21 19:14:58 2012 UTC],4194304,159744,33024,258,0,1,1,2
zeusbin_021384ea9b168ae0fbeeaefe75617ca9.ex0.json,4096,512,1024,0x4CB76E47 [Thu Oct 14 20:55:35 2010 UTC],4194304,155648,33024,258,0,0,1,2
zeusbin_0214106a811d8d4192bbdac2122e2574.ex0.json,4096,512,4096,0x33924387 [Mon Jun  2 03:52:39 1997 UTC],4194304,33730560,0,33167,1,1,2,1
zeusbin_0229d835812c15d54b799aac0e476f9f.ex0.json,4096,512,1024,0x51154702 [Fri Feb  8 18:42:10 2013 UTC],4194304,57344,0,271,0,0,1,4
zeusbin_022a7cabc205c3c432d11030e434e329.ex0.json,4096,512,4096,0x388545D9 [Wed Jan 19 05:04:25 2000 UTC],4194304,33730560,0,33167,1,1,2,1
zeusbin_022c5970e79e963e4fac464b197868a8.ex0.json,4096,512,1024,0x4D8D9072 [Sat Mar 26 07:06:26 2011 UTC],4194304,192512,0,258,1,0,1,2
zeusbin_022e9d9628acb8d8914ebab9a0278c1e.ex0.json,4096,512,1024,0x492D7E22 [Wed Nov 26 16:49:38 2008 UTC],4194304,102400,33024,259,0,0,0,3
